"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708168_NM300K_EC20_7d_3.txt"	"Ag.NM300K.EC20.7d.3"	"Ag.NM300K.EC20.7d"	"Ag"	"NM300K"	NA	"EC20"	7	3
"GSM1708169_NM300K_EC50_7d_1.txt"	"Ag.NM300K.EC50.7d.1"	"Ag.NM300K.EC50.7d"	"Ag"	"NM300K"	NA	"EC50"	7	1
"GSM1708170_NM300K_EC50_7d_2.txt"	"Ag.NM300K.EC50.7d.2"	"Ag.NM300K.EC50.7d"	"Ag"	"NM300K"	NA	"EC50"	7	2
"GSM1708171_NM300K_EC50_7d_3.txt"	"Ag.NM300K.EC50.7d.3"	"Ag.NM300K.EC50.7d"	"Ag"	"NM300K"	NA	"EC50"	7	3
"GSM1708840_CTCu_3d_1.txt"	"Cu.CT.3d.1"	"Cu.CT.3d"	"Cu"	NA	"CT"	NA	3	1
"GSM1708841_CTCu_3d_2.txt"	"Cu.CT.3d.2"	"Cu.CT.3d"	"Cu"	NA	"CT"	NA	3	2
"GSM1708842_CTCu_3d_3.txt"	"Cu.CT.3d.3"	"Cu.CT.3d"	"Cu"	NA	"CT"	NA	3	3
"GSM1708843_CuNO3_EC20_3d_1.txt"	"Cu.CuNO3.EC20.3d.1"	"Cu.CuNO3.EC20.3d"	"Cu"	"CuNO3"	NA	"EC20"	3	1
"GSM1708844_CuNO3_EC20_3d_2.txt"	"Cu.CuNO3.EC20.3d.2"	"Cu.CuNO3.EC20.3d"	"Cu"	"CuNO3"	NA	"EC20"	3	2
"GSM1708845_CuNO3_EC20_3d_3.txt"	"Cu.CuNO3.EC20.3d.3"	"Cu.CuNO3.EC20.3d"	"Cu"	"CuNO3"	NA	"EC20"	3	3
"GSM1708846_CuNO3_EC50_3d_1.txt"	"Cu.CuNO3.EC50.3d.1"	"Cu.CuNO3.EC50.3d"	"Cu"	"CuNO3"	NA	"EC50"	3	1
"GSM1708847_CuNO3_EC50_3d_2.txt"	"Cu.CuNO3.EC50.3d.2"	"Cu.CuNO3.EC50.3d"	"Cu"	"CuNO3"	NA	"EC50"	3	2
"GSM1708848_CuNO3_EC50_3d_3.txt"	"Cu.CuNO3.EC50.3d.3"	"Cu.CuNO3.EC50.3d"	"Cu"	"CuNO3"	NA	"EC50"	3	3
"GSM1708849_Cu-NPs_EC20_3d_1.txt"	"Cu.Cu.NPs.EC20.3d.1"	"Cu.Cu.NPs.EC20.3d"	"Cu"	"Cu.NPs"	NA	"EC20"	3	1
"GSM1708850_Cu-NPs_EC20_3d_2.txt"	"Cu.Cu.NPs.EC20.3d.2"	"Cu.Cu.NPs.EC20.3d"	"Cu"	"Cu.NPs"	NA	"EC20"	3	2
"GSM1708851_Cu-NPs_EC20_3d_3.txt"	"Cu.Cu.NPs.EC20.3d.3"	"Cu.Cu.NPs.EC20.3d"	"Cu"	"Cu.NPs"	NA	"EC20"	3	3
"GSM1708852_Cu-NPs_EC50_3d_1.txt"	"Cu.Cu.NPs.EC50.3d.1"	"Cu.Cu.NPs.EC50.3d"	"Cu"	"Cu.NPs"	NA	"EC50"	3	1
"GSM1708853_Cu-NPs_EC50_3d_2.txt"	"Cu.Cu.NPs.EC50.3d.2"	"Cu.Cu.NPs.EC50.3d"	"Cu"	"Cu.NPs"	NA	"EC50"	3	2
"GSM1708854_Cu-NPs_EC50_3d_3.txt"	"Cu.Cu.NPs.EC50.3d.3"	"Cu.Cu.NPs.EC50.3d"	"Cu"	"Cu.NPs"	NA	"EC50"	3	3
"GSM1708855_Cu-Nwires_EC20_3d_1.txt"	"Cu.Cu.Nwires.EC20.3d.1"	"Cu.Cu.Nwires.EC20.3d"	"Cu"	"Cu.Nwires"	NA	"EC20"	3	1
"GSM1708856_Cu-Nwires_EC20_3d_2.txt"	"Cu.Cu.Nwires.EC20.3d.2"	"Cu.Cu.Nwires.EC20.3d"	"Cu"	"Cu.Nwires"	NA	"EC20"	3	2
"GSM1708857_Cu-Nwires_EC20_3d_3.txt"	"Cu.Cu.Nwires.EC20.3d.3"	"Cu.Cu.Nwires.EC20.3d"	"Cu"	"Cu.Nwires"	NA	"EC20"	3	3
